Chr	Start	End	Value
SU1206_chr01	0	1000	0
SU1206_chr01	1000	2000	0
SU1206_chr01	2000	3000	0
SU1206_chr01	3000	4000	0
SU1206_chr01	4000	5000	0
SU1206_chr01	5000	6000	1
SU1206_chr01	6000	7000	1
SU1206_chr01	7000	8000	1
SU1206_chr01	8000	9000	0
SU1206_chr01	9000	10000	0
SU1206_chr01	10000	11000	0
SU1206_chr01	11000	12000	0
SU1206_chr01	12000	13000	0
SU1206_chr01	13000	14000	0
SU1206_chr01	14000	15000	1
SU1206_chr01	15000	16000	1
SU1206_chr01	16000	17000	1
SU1206_chr01	17000	18000	1
SU1206_chr01	18000	19000	1
SU1206_chr01	19000	20000	1
SU1206_chr01	20000	21000	1
SU1206_chr01	21000	22000	0
SU1206_chr01	22000	23000	0
SU1206_chr01	23000	24000	0
SU1206_chr01	24000	25000	1
SU1206_chr01	25000	26000	1
SU1206_chr01	26000	27000	1
SU1206_chr01	27000	28000	1
SU1206_chr01	28000	29000	1
SU1206_chr01	29000	30000	2
SU1206_chr01	30000	31000	2
SU1206_chr01	31000	32000	1
SU1206_chr01	32000	33000	1
SU1206_chr01	33000	34000	1
SU1206_chr01	34000	35000	1
SU1206_chr01	35000	36000	2
SU1206_chr01	36000	37000	1
SU1206_chr01	37000	38000	1
SU1206_chr01	38000	39000	1
SU1206_chr01	39000	40000	1
SU1206_chr01	40000	41000	1
SU1206_chr01	41000	42000	2
SU1206_chr01	42000	43000	1
SU1206_chr01	43000	44000	1
SU1206_chr01	44000	45000	2
SU1206_chr01	45000	46000	2
SU1206_chr01	46000	47000	1
SU1206_chr01	47000	48000	2
SU1206_chr01	48000	49000	1
SU1206_chr01	49000	50000	1
SU1206_chr01	50000	51000	3
SU1206_chr01	51000	52000	2
SU1206_chr01	52000	53000	1
SU1206_chr01	53000	54000	1
SU1206_chr01	54000	55000	1
SU1206_chr01	55000	56000	2
SU1206_chr01	56000	57000	1
SU1206_chr01	57000	58000	1
SU1206_chr01	58000	59000	2
SU1206_chr01	59000	60000	1
SU1206_chr01	60000	61000	1
SU1206_chr01	61000	62000	1
SU1206_chr01	62000	63000	1
SU1206_chr01	63000	64000	0
SU1206_chr01	64000	65000	1
SU1206_chr01	65000	66000	1
SU1206_chr01	66000	67000	1
SU1206_chr01	67000	68000	2
SU1206_chr01	68000	69000	2
SU1206_chr01	69000	70000	1
SU1206_chr01	70000	71000	1
SU1206_chr01	71000	72000	1
SU1206_chr01	72000	73000	1
SU1206_chr01	73000	74000	1
SU1206_chr01	74000	75000	1
SU1206_chr01	75000	76000	2
SU1206_chr01	76000	77000	2
SU1206_chr01	77000	78000	1
SU1206_chr01	78000	79000	1
SU1206_chr01	79000	80000	2
SU1206_chr01	80000	81000	1
SU1206_chr01	81000	82000	1
SU1206_chr01	82000	83000	1
SU1206_chr01	83000	84000	1
SU1206_chr01	84000	85000	1
SU1206_chr01	85000	86000	1
SU1206_chr01	86000	87000	2
SU1206_chr01	87000	88000	2
SU1206_chr01	88000	89000	1
SU1206_chr01	89000	90000	1
SU1206_chr01	90000	91000	1
SU1206_chr01	91000	92000	1
SU1206_chr01	92000	93000	1
SU1206_chr01	93000	94000	2
SU1206_chr01	94000	95000	1
SU1206_chr01	95000	96000	1
SU1206_chr01	96000	97000	1
SU1206_chr01	97000	98000	1
SU1206_chr01	98000	99000	2
SU1206_chr01	99000	100000	1
SU1206_chr01	100000	101000	2
SU1206_chr01	101000	102000	1
SU1206_chr01	102000	103000	2
SU1206_chr01	103000	104000	1
SU1206_chr01	104000	105000	1
SU1206_chr01	105000	106000	2
SU1206_chr01	106000	107000	2
SU1206_chr01	107000	108000	1
SU1206_chr01	108000	109000	1
SU1206_chr01	109000	110000	1
SU1206_chr01	110000	111000	2
SU1206_chr01	111000	112000	1
SU1206_chr01	112000	113000	1
SU1206_chr01	113000	114000	1
SU1206_chr01	114000	115000	1
SU1206_chr01	115000	116000	1
SU1206_chr01	116000	117000	2
SU1206_chr01	117000	118000	1
SU1206_chr01	118000	119000	2
SU1206_chr01	119000	120000	1
SU1206_chr01	120000	121000	1
SU1206_chr01	121000	122000	1
SU1206_chr01	122000	123000	2
SU1206_chr01	123000	124000	2
SU1206_chr01	124000	125000	1
SU1206_chr01	125000	126000	2
SU1206_chr01	126000	127000	1
SU1206_chr01	127000	128000	2
SU1206_chr01	128000	129000	2
SU1206_chr01	129000	130000	2
SU1206_chr01	130000	131000	1
SU1206_chr01	131000	132000	0
SU1206_chr01	132000	133000	1
SU1206_chr01	133000	134000	1
SU1206_chr01	134000	135000	1
SU1206_chr01	135000	136000	1
SU1206_chr01	136000	137000	2
SU1206_chr01	137000	138000	1
SU1206_chr01	138000	139000	1
SU1206_chr01	139000	140000	1
SU1206_chr01	140000	141000	2
SU1206_chr01	141000	142000	1
SU1206_chr01	142000	143000	1
SU1206_chr01	143000	144000	1
