Type	Shape	Chr	Start	End	color
deletion	triangle	SU1206_chr01	130457	132375	C0392B
deletion	triangle	SU1206_chr01	204716	206035	C0392B
deletion	triangle	SU1206_chr02	458419	459844	C0392B
deletion	triangle	SU1206_chr02	475514	476750	C0392B
duplication	box	SU1206_chr02	569238	570245	52BE80
insertion	circle	SU1206_chr02	799892	800570	5499C7
deletion	triangle	SU1206_chr03	125535	126568	C0392B
deletion	triangle	SU1206_chr03	174895	175947	C0392B
deletion	triangle	SU1206_chr03	282417	283551	C0392B
deletion	triangle	SU1206_chr04	986741	988000	C0392B
deletion	triangle	SU1206_chr04	993461	996235	C0392B
insertion	circle	SU1206_chr05	182330	183036	5499C7
deletion	triangle	SU1206_chr05	195576	198791	C0392B
inversion	box	SU1206_chr05	495727	501099	A569BD
deletion	triangle	SU1206_chr05	505089	508150	C0392B
inversion	box	SU1206_chr05	526999	548041	A569BD
insertion	circle	SU1206_chr05	605298	606134	5499C7
insertion	circle	SU1206_chr06	21924	22476	5499C7
deletion	triangle	SU1206_chr06	145219	146302	C0392B
deletion	triangle	SU1206_chr06	194978	197270	C0392B
insertion	circle	SU1206_chr06	246572	247146	5499C7
deletion	triangle	SU1206_chr07	121111	122205	C0392B
deletion	triangle	SU1206_chr07	127936	129048	C0392B
insertion	circle	SU1206_chr07	293114	293859	5499C7
insertion	circle	SU1206_chr07	331762	332398	5499C7
deletion	triangle	SU1206_chr07	405505	409698	C0392B
deletion	triangle	SU1206_chr07	714589	716999	C0392B
deletion	triangle	SU1206_chr07	758991	760028	C0392B
insertion	circle	SU1206_chr07	812551	813439	5499C7
insertion	circle	SU1206_chr08	13675	14209	5499C7
insertion	circle	SU1206_chr08	16103	16456	5499C7
insertion	circle	SU1206_chr08	19776	19926	5499C7
insertion	circle	SU1206_chr08	138776	139511	5499C7
insertion	circle	SU1206_chr08	458624	459077	5499C7
deletion	triangle	SU1206_chr08	603182	604272	C0392B
deletion	triangle	SU1206_chr08	657090	679368	C0392B
deletion	triangle	SU1206_chr08	738901	740458	C0392B
deletion	triangle	SU1206_chr08	836752	837885	C0392B
deletion	triangle	SU1206_chr09	157081	163488	C0392B
deletion	triangle	SU1206_chr09	370831	372197	C0392B
insertion	circle	SU1206_chr09	370831	372485	5499C7
insertion	circle	SU1206_chr10	7195	9685	5499C7
deletion	triangle	SU1206_chr10	7195	14972	C0392B
insertion	circle	SU1206_chr10	13112	14972	5499C7
insertion	circle	SU1206_chr10	16818	16933	5499C7
insertion	circle	SU1206_chr10	186318	186986	5499C7
deletion	triangle	SU1206_chr10	358521	365244	C0392B
insertion	circle	SU1206_chr10	406931	414403	5499C7
deletion	triangle	SU1206_chr10	406931	414403	C0392B
deletion	triangle	SU1206_chr10	422114	429017	C0392B
deletion	triangle	SU1206_chr10	530625	531804	C0392B
deletion	triangle	SU1206_chr10	540901	546638	C0392B
deletion	triangle	SU1206_chr10	656181	662249	C0392B
insertion	circle	SU1206_chr10	739644	740408	5499C7
insertion	circle	SU1206_chr10	744930	745797	5499C7
deletion	triangle	SU1206_chr11	55753	97898	C0392B
deletion	triangle	SU1206_chr11	108182	109269	C0392B
deletion	triangle	SU1206_chr11	197965	199294	C0392B
insertion	circle	SU1206_chr11	491378	491567	5499C7
insertion	circle	SU1206_chr11	682364	683978	5499C7
deletion	triangle	SU1206_chr11	682420	683978	C0392B
deletion	triangle	SU1206_chr13	907273	910061	C0392B
insertion	circle	SU1206_chr14	577580	578507	5499C7
insertion	circle	SU1206_chr14	619894	620859	5499C7
insertion	circle	SU1206_chr14	650856	657570	5499C7
deletion	triangle	SU1206_chr14	650856	657570	C0392B
deletion	triangle	SU1206_chr14	766691	767868	C0392B
deletion	triangle	SU1206_chr14	792834	794546	C0392B
insertion	circle	SU1206_chr16	67635	68537	5499C7
deletion	triangle	SU1206_chr16	303824	317971	C0392B
insertion	circle	SU1206_chr16	475080	475618	5499C7
insertion	circle	SU1206_chr16	591973	592248	5499C7
insertion	circle	SU1206_chr16	720099	721079	5499C7
deletion	triangle	SU1206_chr16	807303	808605	C0392B
insertion	circle	SU1206_chr16	889545	889899	5499C7
deletion	triangle	SU1206chr15	83681	84804	C0392B
deletion	triangle	SU1206chr15	246438	247513	C0392B
deletion	triangle	SU1206chr15	348566	350161	C0392B
deletion	triangle	SU1206chr15	585424	586428	C0392B
insertion	circle	SU1206chr15	738024	856857	5499C7
insertion	circle	SU1206chr15	922387	922584	5499C7
